person	id
清镇市	0
高州市	1
华安县	2
临县	3
北戴河区	4
镇原县	5
石龙区	6
南谯区	7
嫩江市	8
确山县	9
头屯河区	10
凉城县	11
雨湖区	12
阳信县	13
东阿县	14
封丘县	15
城西区	16
钦北区	17
柏乡县	18
象州县	19
常宁市	20
荣县	21
达川区	22
岳塘区	23
高陵区	24
靖安县	25
珲春市	26
宜君县	27
海原县	28
海陵区	29
沾益区	30
灵山县	31
巨野县	32
呼和浩特金海工业园区	33
珠山区	34
根河市	35
临清市	36
天河区	37
河北区	38
龙南市	39
象山县	40
孝义市	41
中站区	42
青秀区	43
东昌府区	44
广饶县	45
细河区	46
黟县	47
蔚县	48
札达县	49
乌审旗	50
合作市	51
会理县	52
蓬莱区	53
柯坪县	54
黎平县	55
罗定市	56
湾里区	57
贾汪区	58
饶阳县	59
增城区	60
谯城区	61
永川区	62
尉氏县	63
潞州区	64
定海区	65
颍泉区	66
西区	67
上蔡县	68
和顺县	69
新民市	70
罗山县	71
高青县	72
昔阳县	73
秀英区	74
林西县	75
乃东区	76
茅箭区	77
霍城县	78
绥芬河市	79
扶绥县	80
黑山县	81
社旗县	82
南雄市	83
平顶山高新技术产业开发区	84
中牟县	85
蓬安县	86
彭泽县	87
开远市	88
张湾区	89
台山市	90
二七区	91
鹿城区	92
玉龙纳西族自治县	93
瓦房店市	94
江北区	95
安新县	96
红安县	97
韩城市	98
玛沁县	99
霍尔果斯市	100
道外区	101
阳新县	102
白河县	103
康保县	104
沁县	105
甘洛县	106
平原县	107
卡若区	108
榆社县	109
新化县	110
漳浦县	111
永顺县	112
七星关区	113
多伦县	114
南县	115
青岛高新技术产业开发区	116
五寨县	117
献县	118
安达市	119
两当县	120
青田县	121
呈贡区	122
宁晋县	123
屏边苗族自治县	124
榆次区	125
阜新蒙古族自治县	126
屯昌县	127
嘉黎县	128
沙雅县	129
兴山县	130
历下区	131
罗江区	132
临江市	133
象山区	134
义安区	135
乐都区	136
鄂伦春自治旗	137
获嘉县	138
龙安区	139
昌江区	140
威宁彝族回族苗族自治县	141
惠安县	142
桃江县	143
莲花县	144
双河市	145
灞桥区	146
梅里斯达斡尔族区	147
新乡县	148
雷山县	149
徐闻县	150
茫崖市	151
南安市	152
宁国市	153
武胜县	154
蛟河市	155
辽阳县	156
麦积区	157
溪湖区	158
建湖县	159
君山区	160
宁武县	161
站前区	162
唐县	163
福山区	164
蒸湘区	165
莫力达瓦达斡尔族自治旗	166
宜良县	167
上城区	168
乌翠区	169
江城哈尼族彝族自治县	170
河南濮阳工业园区	171
婺源县	172
五峰土家族自治县	173
大姚县	174
滑县	175
政和县	176
阿巴嘎旗	177
沅陵县	178
光泽县	179
合阳县	180
广德县	181
资阳区	182
镇康县	183
鲁甸县	184
荥经县	185
崇明区	186
德兴市	187
桑珠孜区	188
汶川县	189
沽源县	190
利津县	191
天等县	192
天祝藏族自治县	193
冷水江市	194
太和区	195
巩义市	196
平罗县	197
榆树市	198
和硕县	199
蓬莱市	200
武进区	201
新荣区	202
灌南县	203
郾城区	204
鄱阳县	205
广德市	206
三原县	207
巴楚县	208
安溪县	209
杜集区	210
中江县	211
清河县	212
江宁区	213
永嘉县	214
金台区	215
梁平区	216
微山县	217
自流井区	218
西畴县	219
新罗区	220
卫东区	221
睢县	222
上杭县	223
云州区	224
播州区	225
望都县	226
梁河县	227
青云谱区	228
梨树区	229
斗门区	230
湖南湘潭高新技术产业园区	231
爱辉区	232
苍南县	233
凤城市	234
绥中县	235
新泰市	236
五常市	237
云岩区	238
美兰区	239
美姑县	240
梓潼县	241
港口区	242
秦淮区	243
茂南区	244
婺城区	245
元江哈尼族彝族傣族自治县	246
安仁县	247
凌云县	248
南丰县	249
会东县	250
桑植县	251
赞皇县	252
恭城瑶族自治县	253
鸡泽县	254
西山区	255
调兵山市	256
新华区	257
太湖县	258
靖江市	259
桃城区	260
泌阳县	261
东方市	262
石台县	263
巴马瑶族自治县	264
阜阳合肥现代产业园区	265
沿河土家族自治县	266
红古区	267
通州区	268
汉阴县	269
平城区	270
顺义区	271
彭水苗族土家族自治县	272
阿克苏市	273
万柏林区	274
海曙区	275
阳东区	276
镇沅彝族哈尼族拉祜族自治县	277
旌德县	278
昆山市	279
濂溪区	280
叙永县	281
抚松县	282
凌海市	283
西市区	284
额敏县	285
济宁高新技术产业开发区	286
赤坎区	287
龙江县	288
嘉定区	289
富平县	290
金平区	291
紫云苗族布依族自治县	292
静乐县	293
藤县	294
长宁县	295
英山县	296
兴平市	297
桐城市	298
惠来县	299
宁城县	300
蓬江区	301
市中区	302
环县	303
华宁县	304
南澳县	305
广河县	306
天峻县	307
达孜区	308
隆林各族自治县	309
可克达拉市	310
元谋县	311
尖草坪区	312
镇海区	313
张家口经济开发区	314
柳北区	315
平川区	316
翼城县	317
宝清县	318
广汉市	319
石家庄循环化工园区	320
弋江区	321
托克逊县	322
南丹县	323
玉门市	324
莱州市	325
平潭县	326
大丰区	327
新邵县	328
洪洞县	329
剑河县	330
华坪县	331
蚌山区	332
新乡市平原城乡一体化示范区	333
叶集区	334
平坝区	335
布拖县	336
岳池县	337
闽侯县	338
大安区	339
枣强县	340
高阳县	341
古田县	342
上高县	343
城口县	344
西丰县	345
武乡县	346
荔浦市	347
云霄县	348
天台县	349
路南区	350
梅县区	351
汝阳县	352
汉南区	353
乌尔禾区	354
新巴尔虎左旗	355
包河区	356
东明县	357
龙游县	358
花山区	359
北辰区	360
义马市	361
瓮安县	362
宁陵县	363
湟中县	364
郑州高新技术产业开发区	365
会泽县	366
淮安经济技术开发区	367
甘谷县	368
察哈尔右翼前旗	369
点军区	370
澄城县	371
扬中市	372
襄州区	373
南召县	374
牟定县	375
德钦县	376
中原区	377
清原满族自治县	378
宣化区	379
杏花岭区	380
集贤县	381
上虞区	382
溧阳市	383
东兰县	384
盐都区	385
绥德县	386
东川区	387
西夏区	388
张家口市高新技术产业开发区	389
大武口区	390
城固县	391
达拉特旗	392
平鲁区	393
北塔区	394
沁源县	395
-	396
莲池区	397
惠山区	398
陵城区	399
扶风县	400
吉林经济开发区	401
鼓楼区	402
白碱滩区	403
大厂回族自治县	404
成安县	405
枞阳县	406
芮城县	407
清流县	408
崇州市	409
新和县	410
方城县	411
宁蒗彝族自治县	412
临洮县	413
横山区	414
新乡高新技术产业开发区	415
红塔区	416
召陵区	417
扎赉诺尔区	418
武江区	419
兴县	420
张北县	421
马龙区	422
雨山区	423
禄丰县	424
桃源县	425
剑阁县	426
龙马潭区	427
鼎城区	428
姚安县	429
台江区	430
民权县	431
武隆区	432
博兴县	433
三山区	434
九龙坡区	435
任泽区	436
虞城县	437
麦盖提县	438
青龙满族自治县	439
姑苏区	440
怀柔区	441
伊美区	442
云县	443
宁安市	444
阳西县	445
