person	id
天元区	0
青州市	1
潍坊滨海经济技术开发区	2
永康市	3
掇刀区	4
如东县	5
新蔡县	6
晋安区	7
莱山区	8
嵊州市	9
永城市	10
西乡塘区	11
罗湖区	12
光明区	13
白云区	14
高淳区	15
新罗区	16
万柏林区	17
西城区	18
南浔区	19
龙文区	20
高邮市	21
贾汪区	22
密云区	23
官渡区	24
沭阳县	25
花溪区	26
仪征市	27
阳新县	28
汉川市	29
芝罘区	30
福清市	31
福田区	32
滕州市	33
新泰市	34
宜都市	35
庄河市	36
溧水区	37
和平区	38
同安区	39
长丰县	40
柯城区	41
普陀区	42
魏都区	43
越城区	44
临淄区	45
新吴区	46
惠阳区	47
巢湖市	48
常熟市	49
南岸区	50
思明区	51
渝北区	52
玉环市	53
盱眙县	54
梁溪区	55
天河区	56
斗门区	57
乳源瑶族自治县	58
六合区	59
伊金霍洛旗	60
北仑区	61
闽侯县	62
烟台经济技术开发区	63
芙蓉区	64
新北区	65
裕华区	66
禅城区	67
灞桥区	68
越秀区	69
海门市	70
建德市	71
堆龙德庆区	72
吉州区	73
江南区	74
鲤城区	75
宣州区	76
横峰县	77
江都区	78
蕉城区	79
舒城县	80
黄埔区	81
滨江区	82
昆山市	83
盘州市	84
青山湖区	85
城厢区	86
金州区	87
邳州市	88
胶州市	89
头屯河区	90
松江区	91
禹会区	92
诸城市	93
西湖区	94
李沧区	95
宿城区	96
青岛高新技术产业开发区	97
奎文区	98
南通经济技术开发区	99
东台市	100
东港区	101
颍州区	102
襄州区	103
吴中区	104
江山市	105
松北区	106
桐庐县	107
福山区	108
慈溪市	109
永春县	110
沾化区	111
郫都区	112
洛龙区	113
兴化市	114
姑苏区	115
广阳区	116
宝安区	117
南安市	118
滨城区	119
仁怀市	120
平阳县	121
庐阳区	122
双流区	123
郑州高新技术产业开发区	124
虹口区	125
吴兴区	126
靖江市	127
崇川区	128
海安市	129
射阳县	130
台江区	131
顺德区	132
长宁区	133
肥西县	134
四会市	135
惠山区	136
和县	137
拱墅区	138
邹城市	139
丰泽区	140
合肥高新技术产业开发区	141
北碚区	142
黄岩区	143
青白江区	144
红花岗区	145
长乐区	146
南沙区	147
市北区	148
门头沟区	149
武清区	150
北辰区	151
神木市	152
苍南县	153
芗城区	154
宁海县	155
贵池区	156
安宁市	157
荥阳市	158
邗江区	159
南海区	160
武进区	161
龙亭区	162
雁塔区	163
三水区	164
马尾区	165
共青城市	166
宁阳县	167
兰溪市	168
惠东县	169
山西转型综合改革示范区	170
安丘市	171
廊坊经济技术开发区	172
硚口区	173
巩义市	174
鄞州区	175
新洲区	176
漳浦县	177
伍家岗区	178
启东市	179
邕宁区	180
曾都区	181
秀洲区	182
闵行区	183
巴南区	184
镇海区	185
黄州区	186
奉贤区	187
东胜区	188
泗洪县	189
岳麓区	190
中原区	191
临朐县	192
新郑市	193
杨浦区	194
南昌县	195
吴江区	196
嘉善县	197
上城区	198
浑南区	199
连江县	200
呈贡区	201
东丽区	202
泰兴市	203
海盐县	204
柯桥区	205
鼓楼区	206
包河区	207
海沧区	208
栖霞区	209
天心区	210
江干区	211
顺义区	212
东阳市	213
下城区	214
香洲区	215
肥东县	216
青浦区	217
历城区	218
义乌市	219
房山区	220
龙岗区	221
静安区	222
相城区	223
来安县	224
乐清市	225
济源市	226
苏州工业园区	227
桐乡市	228
长葛市	229
赛罕区	230
富阳区	231
章贡区	232
郑州经济技术开发区	233
平湖市	234
榆阳区	235
温江区	236
青羊区	237
溧阳市	238
东城区	239
沙河口区	240
武侯区	241
西山区	242
樊城区	243
临海市	244
成华区	245
江津区	246
开福区	247
中牟县	248
衡南县	249
泰山区	250
康巴什区	251
龙华区	252
泗阳县	253
招远市	254
宿豫区	255
库尔勒市	256
天门市	257
石景山区	258
玉州区	259
长安区	260
蔡甸区	261
萧山区	262
枣阳市	263
黄陂区	264
城阳区	265
埇桥区	266
荣成市	267
如皋市	268
福安市	269
钟山区	270
兰山区	271
龙海市	272
金坛区	273
雨山区	274
武陵区	275
龙湖区	276
云龙区	277
坪山区	278
二七区	279
京口区	280
睢阳区	281
江岸区	282
上虞区	283
任城区	284
石狮市	285
蓬莱区	286
金水区	287
惠安县	288
莲都区	289
江汉区	290
江阴市	291
荔湾区	292
禹州市	293
扬州经济技术开发区	294
浦东新区	295
容城县	296
合肥经济技术开发区	297
海珠区	298
番禺区	299
德清县	300
岱岳区	301
新密市	302
龙泉驿区	303
天台县	304
准格尔旗	305
固安县	306
瓯海区	307
青秀区	308
仓山区	309
通州区	310
瓦房店市	311
雨花台区	312
徐州经济技术开发区	313
青田县	314
金山区	315
安源区	316
灵武市	317
渝水区	318
张店区	319
牡丹区	320
普宁市	321
雨花区	322
黄浦区	323
海州区	324
建邺区	325
虎丘区	326
麒麟区	327
即墨区	328
洪山区	329
莒南县	330
宁都县	331
石峰区	332
瑞安市	333
涪城区	334
丹徒区	335
信州区	336
海宁市	337
仙桃市	338
大冶市	339
阿克苏市	340
邹平市	341
永泰县	342
秦淮区	343
钦南区	344
晋江市	345
增城区	346
盘龙区	347
浔阳区	348
惠城区	349
潜江市	350
沧州渤海新区	351
沛县	352
西青区	353
曹妃甸区	354
莱阳市	355
蜀山区	356
浏阳市	357
温州经济技术开发区	358
定海区	359
泉山区	360
宜良县	361
市南区	362
梅列区	363
徐汇区	364
秀英区	365
金湾区	366
五华区	367
静海区	368
濂溪区	369
新城区	370
翔安区	371
咸安区	372
驿城区	373
嘉定区	374
沙市区	375
太仓市	376
鹿城区	377
历下区	378
观山湖区	379
澄迈县	380
湖里区	381
昌乐县	382
美兰区	383
丰台区	384
临安区	385
玄武区	386
路桥区	387
大丰区	388
丹阳市	389
滨海新区	390
海陵区	391
江北区	392
宝山区	393
济宁高新技术产业开发区	394
江宁区	395
平度市	396
宁乡市	397
孝南区	398
锦江区	399
余姚市	400
醴陵市	401
望城区	402
温岭市	403
南湖区	404
奉化区	405
河东区	406
盐城经济技术开发区	407
鄂城区	408
铜山区	409
港闸区	410
九龙坡区	411
涡阳县	412
鼎湖区	413
集美区	414
鸠江区	415
广陵区	416
广信区	417
钟楼区	418
莱西市	419
福鼎市	420
管城回族区	421
丛台区	422
袁州区	423
崇明区	424
海淀区	425
东营区	426
武安市	427
市中区	428
博罗县	429
合肥新站高新技术产业开发区	430
登封市	431
坊子区	432
崂山区	433
宿迁经济技术开发区	434
岳阳楼区	435
象山县	436
郑州航空港经济综合实验区	437
响水县	438
姜堰区	439
黄岛区	440
长沙县	441
茌平区	442
任丘市	443
槐荫区	444
肥城市	445
龙湾区	446
诸暨市	447
红谷滩区	448
新沂市	449
天宁区	450
迁安市	451
莱州市	452
平潭县	453
金安区	454
牟平区	455
宝应县	456
椒江区	457
盐都区	458
安吉县	459
怀柔区	460
章丘区	461
建安区	462
海城市	463
青山区	464
朝阳区	465
广饶县	466
西陵区	467
婺城区	468
南明区	469
昌平区	470
淳安县	471
长兴县	472
镇江新区	473
新市区	474
滨湖区	475
石河子市	476
张家港市	477
大兴区	478
瑶海区	479
锡山区	480
天涯区	481
仙居县	482
南山区	483
良庆区	484
龙口市	485
东西湖区	486
吉阳区	487
甘井子区	488
余杭区	489
新建区	490
丰城市	491
高明区	492
达拉特旗	493
未央区	494
浦口区	495
金寨县	496
霍尔果斯市	497
寿光市	498
拉萨经济技术开发区	499
句容市	500
宜兴市	501
武昌区	502
花都区	503
大厂回族自治县	504
泰州医药高新技术产业开发区	505
川汇区	506
金凤区	507
津南区	508
济南高新技术产业开发区	509
临川区	510
银海区	511
汉阳区	512
海曙区	513
江夏区	514
亭湖区	515
