person	id
任城区	0
莱州市	1
邳州市	2
新北区	3
宁乡市	4
海宁市	5
慈溪市	6
荣成市	7
雁塔区	8
盘州市	9
博罗县	10
惠阳区	11
达拉特旗	12
莲都区	13
东港区	14
江南区	15
金州区	16
大兴区	17
滨湖区	18
闽侯县	19
福田区	20
思明区	21
黄浦区	22
肥城市	23
射阳县	24
五华区	25
邕宁区	26
宜兴市	27
天元区	28
栖霞区	29
路桥区	30
北仑区	31
江夏区	32
定海区	33
高淳区	34
金安区	35
大丰区	36
黄埔区	37
长乐区	38
江宁区	39
萧山区	40
青秀区	41
四会市	42
亭湖区	43
新沂市	44
雨花台区	45
增城区	46
东阳市	47
滕州市	48
渝北区	49
银海区	50
吴中区	51
宿城区	52
寿光市	53
闵行区	54
潜江市	55
梁溪区	56
历下区	57
莱西市	58
红花岗区	59
准格尔旗	60
掇刀区	61
惠城区	62
平度市	63
滨江区	64
罗湖区	65
永康市	66
丰泽区	67
晋江市	68
长沙县	69
神木市	70
安丘市	71
嵊州市	72
津南区	73
龙岗区	74
顺义区	75
余姚市	76
仓山区	77
岱岳区	78
颍州区	79
奉贤区	80
宁海县	81
福清市	82
浦东新区	83
新泰市	84
邗江区	85
湖里区	86
廊坊经济技术开发区	87
嘉善县	88
诸暨市	89
建邺区	90
相城区	91
虹口区	92
金水区	93
江干区	94
奎文区	95
启东市	96
江汉区	97
如皋市	98
太仓市	99
滨海新区	100
南山区	101
历城区	102
温州经济技术开发区	103
青山区	104
库尔勒市	105
溧阳市	106
蜀山区	107
海盐县	108
福安市	109
红谷滩区	110
西乡塘区	111
庄河市	112
青浦区	113
丰台区	114
蔡甸区	115
桐乡市	116
义乌市	117
仁怀市	118
句容市	119
醴陵市	120
河东区	121
江北区	122
长兴县	123
固安县	124
胶州市	125
岳麓区	126
宿豫区	127
房山区	128
宝应县	129
宜都市	130
姜堰区	131
东胜区	132
浑南区	133
秀英区	134
普宁市	135
肥西县	136
魏都区	137
青山湖区	138
西山区	139
诸城市	140
黄岛区	141
鹿城区	142
徐州经济技术开发区	143
香洲区	144
南昌县	145
扬州经济技术开发区	146
惠东县	147
宝山区	148
观山湖区	149
青田县	150
高邮市	151
临安区	152
靖江市	153
浏阳市	154
芙蓉区	155
新建区	156
仪征市	157
秀洲区	158
驿城区	159
南通经济技术开发区	160
白云区	161
江阴市	162
武昌区	163
如东县	164
沭阳县	165
济宁高新技术产业开发区	166
南浔区	167
崇明区	168
北碚区	169
普陀区	170
兰溪市	171
武进区	172
汉川市	173
新密市	174
沛县	175
吴兴区	176
嘉定区	177
霍尔果斯市	178
玉州区	179
上城区	180
越城区	181
市中区	182
龙湾区	183
即墨区	184
奉化区	185
鄞州区	186
晋安区	187
大冶市	188
登封市	189
静安区	190
海门市	191
济源市	192
朝阳区	193
广陵区	194
兰山区	195
邹平市	196
武安市	197
蓬莱区	198
象山县	199
长安区	200
伊金霍洛旗	201
平湖市	202
顺德区	203
北辰区	204
龙口市	205
溧水区	206
丹阳市	207
南安市	208
芝罘区	209
洪山区	210
龙华区	211
东台市	212
番禺区	213
西湖区	214
开福区	215
余杭区	216
海安市	217
望城区	218
兴化市	219
城阳区	220
横峰县	221
平阳县	222
密云区	223
瓦房店市	224
西城区	225
新吴区	226
海淀区	227
盱眙县	228
松江区	229
永城市	230
崂山区	231
川汇区	232
仙桃市	233
泰山区	234
玉环市	235
海沧区	236
南明区	237
金湾区	238
市南区	239
青白江区	240
金凤区	241
大厂回族自治县	242
台江区	243
惠山区	244
吉阳区	245
汉阳区	246
合肥经济技术开发区	247
海州区	248
长宁区	249
温岭市	250
海城市	251
姑苏区	252
天河区	253
海珠区	254
泰兴市	255
新郑市	256
东丽区	257
禹州市	258
武清区	259
荔湾区	260
槐荫区	261
阳新县	262
涡阳县	263
青州市	264
钟山区	265
乐清市	266
巩义市	267
庐阳区	268
招远市	269
黄岩区	270
花都区	271
连江县	272
昆山市	273
椒江区	274
瑞安市	275
武侯区	276
合肥高新技术产业开发区	277
市北区	278
吴江区	279
盐都区	280
秦淮区	281
广信区	282
长丰县	283
永泰县	284
拱墅区	285
惠安县	286
岳阳楼区	287
康巴什区	288
金山区	289
济南高新技术产业开发区	290
枣阳市	291
泰州医药高新技术产业开发区	292
集美区	293
石狮市	294
云龙区	295
新洲区	296
美兰区	297
昌平区	298
通州区	299
镇海区	300
德清县	301
安宁市	302
广阳区	303
浦口区	304
张家港市	305
南湖区	306
贾汪区	307
安源区	308
雨花区	309
建德市	310
成华区	311
新城区	312
门头沟区	313
宿迁经济技术开发区	314
濂溪区	315
海曙区	316
信州区	317
城厢区	318
沙河口区	319
邹城市	320
南海区	321
苏州工业园区	322
响水县	323
鼓楼区	324
斗门区	325
石峰区	326
石景山区	327
榆阳区	328
牟平区	329
天台县	330
鸠江区	331
南沙区	332
裕华区	333
青岛高新技术产业开发区	334
苍南县	335
江都区	336
杨浦区	337
梅列区	338
广饶县	339
江岸区	340
牡丹区	341
滨城区	342
铜山区	343
荥阳市	344
东城区	345
郑州高新技术产业开发区	346
丛台区	347
涪城区	348
锦江区	349
光明区	350
茌平区	351
任丘市	352
赛罕区	353
禅城区	354
蕉城区	355
黄州区	356
镇江新区	357
下城区	358
包河区	359
迁安市	360
未央区	361
海陵区	362
灞桥区	363
富阳区	364
双流区	365
共青城市	366
玄武区	367
吉州区	368
青羊区	369
常熟市	370
宁都县	371
襄州区	372
龙泉驿区	373
良庆区	374
章丘区	375
金坛区	376
三水区	377
合肥新站高新技术产业开发区	378
越秀区	379
东西湖区	380
天心区	381
京口区	382
丰城市	383
堆龙德庆区	384
婺城区	385
瓯海区	386
马尾区	387
澄迈县	388
花溪区	389
平潭县	390
渝水区	391
临海市	392
天宁区	393
容城县	394
西陵区	395
东营区	396
温江区	397
上虞区	398
泉山区	399
怀柔区	400
咸安区	401
崇川区	402
雨山区	403
二七区	404
锡山区	405
潍坊滨海经济技术开发区	406
高明区	407
盘龙区	408
章贡区	409
天门市	410
烟台经济技术开发区	411
同安区	412
官渡区	413
郑州航空港经济综合实验区	414
黄陂区	415
李沧区	416
武陵区	417
临川区	418
徐汇区	419
西青区	420
龙文区	421
管城回族区	422
郑州经济技术开发区	423
柯桥区	424
洛龙区	425
舒城县	426
新罗区	427
头屯河区	428
中原区	429
麒麟区	430
金寨县	431
万柏林区	432
孝南区	433
临淄区	434
和平区	435
瑶海区	436
新蔡县	437
新市区	438
盐城经济技术开发区	439
中牟县	440
曹妃甸区	441
虎丘区	442
樊城区	443
龙湖区	444
拉萨经济技术开发区	445
巢湖市	446
来安县	447
莒南县	448
张店区	449
肥东县	450
六合区	451
宝安区	452
永春县	453
桐庐县	454
石河子市	455
龙亭区	456
安吉县	457
坊子区	458
埇桥区	459
硚口区	460
江山市	461
睢阳区	462
建安区	463
袁州区	464
巴南区	465
沧州渤海新区	466
静海区	467
钟楼区	468
阿克苏市	469
浔阳区	470
港闸区	471
福鼎市	472
仙居县	473
天涯区	474
钦南区	475
山西转型综合改革示范区	476
莱山区	477
九龙坡区	478
甘井子区	479
呈贡区	480
乳源瑶族自治县	481
淳安县	482
昌乐县	483
泗洪县	484
松北区	485
长葛市	486
宣州区	487
漳浦县	488
宁阳县	489
南岸区	490
翔安区	491
鄂城区	492
伍家岗区	493
曾都区	494
临朐县	495
鼎湖区	496
龙海市	497
沙市区	498
贵池区	499
鲤城区	500
和县	501
坪山区	502
泗阳县	503
郫都区	504
江津区	505
宜良县	506
芗城区	507
灵武市	508
丹徒区	509
沾化区	510
莱阳市	511
柯城区	512
衡南县	513
福山区	514
禹会区	515
